,MoB,MoG,MoR,MeB,MeG,MeR,sdtB,stdG,stdR,MoB2,MoG2,MoR2,MeB2,MeG2,MeR2,sdtB2,stdG2,stdR2,hu1,hu2,hu3,hu4,hu5,hu6,hu7,Ncont,MinArea,MaxArea,ContConv,MinPer,MaxPeri,type,var2,var3,var
59,11.0,78.0,43.0,17.27604135578929,82.48375793988693,50.7856360862808,11.47470331814032,13.555856738401246,14.984098295280441,59.0,115.0,100.0,65.55742105068306,117.4172971102476,100.76422946358211,13.208784909702853,2.8576855805427006,4.415221608159738,0.0015099977551447557,1.6737434354734573e-07,2.0349565695634514e-10,1.218005813308314e-10,1.2621318379376845e-20,4.975869368242886e-14,-1.4436427846560925e-20,23.0,7277.0,0.5,8.0,3.414213538169861,32796.909125328064,2.0,,,
60,8.0,62.0,36.0,14.213994443531032,73.54836906762367,46.20915814084688,11.151811274574294,13.083383413224448,13.76034891671429,48.0,117.0,103.0,58.62149299768297,119.13785012241777,102.96739816160616,12.694205397715294,2.2580689958336606,3.4035683260533425,0.001841510890849038,8.460714864179784e-08,1.8177099504596249e-09,1.1827099805084952e-10,-4.9031777691842215e-20,-1.6762323524545793e-14,-2.4557369529821513e-20,7.0,9406.5,129.5,0.0,46.041629791259766,33785.16010451317,2.0,,,
61,7.0,65.0,37.0,15.451799506624972,77.93066902866356,48.96646878977979,11.73959761443355,13.477802853561807,14.505847761485075,51.0,117.0,102.0,62.15874140160061,118.57332752775172,101.66131936812606,13.196248764990335,2.30239985142365,3.536848109659792,0.0018507306630323019,9.633532685309867e-08,1.8549123549193125e-09,1.1816183764669717e-10,-4.6906161582568866e-20,-1.984824620890502e-14,-2.932659712657369e-20,10.0,9895.5,0.5,0.0,49.11269783973694,27444.280487537384,2.0,,,
62,10.0,52.0,27.0,12.533505856866675,54.80671206250992,29.993090633213654,8.705341344028694,14.610035062430338,13.28225795362523,40.0,118.0,112.0,42.56466974765645,119.05067203516684,111.04441836684246,13.009320648260687,2.2235459233184227,5.27407389640475,0.0012853102750528937,1.2375447664988276e-09,1.2285886184959443e-10,2.5436817788328672e-11,7.764721804160197e-22,8.917344254415566e-16,-1.191282760568974e-21,21.0,1060.5,0.5,1.0,2.8284270763397217,11925.208604574203,2.0,,,
63,9.0,49.0,25.0,11.744924491425456,51.53048612434464,27.839422158736255,8.925611843050392,13.251614355429204,12.594637679968788,38.0,118.0,112.0,39.90574276740356,119.40799356180929,112.10484633439428,12.113227291148176,2.0003204091903815,4.4872460809145585,0.0013152604079653433,2.9606912905612724e-09,1.5824580781068114e-10,5.348822325326094e-11,1.9839009637874838e-21,2.8039501373513783e-15,-4.503374061133985e-21,17.0,1190.5,1.0,0.0,18.72792160511017,24320.771018624306,2.0,,,
64,8.0,59.0,30.0,11.758090571073758,58.85975333843043,33.30149039613257,9.237119199850788,11.979394453413766,12.685133250276802,45.0,117.0,108.0,45.85004024748763,119.06132762556344,108.75175331273078,11.514909797645734,2.2268738372544195,3.5555623430132437,0.00127696833976057,6.501670519235461e-09,9.064111944537775e-11,3.323259684076755e-13,-1.823892528487411e-24,-2.5830826926631295e-17,-1.2255726355420862e-26,14.0,1305.5,0.5,0.0,344.1248904466629,17702.370755553246,2.0,,,
65,8.0,45.0,25.0,12.457589982503608,52.91357371941451,30.996962767793658,10.388701697969726,13.46654596070484,13.98016590831151,36.0,120.0,111.0,41.72594570512234,120.34295054687294,111.48065453622758,12.88056302261031,2.2153016578636113,4.144857935462204,0.0013285871781832672,2.3845031652235807e-08,3.903893973388016e-11,1.5953207216411642e-11,-1.874678932709557e-22,-2.459051040881656e-15,-3.5122706085165636e-22,4.0,1602.0,18.5,0.0,199.72287034988403,24114.384496212006,2.0,,,
66,10.0,47.0,28.0,13.525369292627461,57.979102955877195,34.26700128640085,10.776986128901708,14.441348861540366,14.840908870170068,40.0,119.0,110.0,45.793001546980946,119.77832770165514,109.79005608161506,13.697272168935461,2.4808469231510717,4.6542962287939895,0.0013666885419329545,2.8156883717131102e-08,6.213013220664853e-11,1.765138297351802e-11,-4.94658892956179e-22,-1.5071281309389942e-15,3.114602302753767e-22,17.0,1077.5,0.5,2.0,7.656854152679443,15500.333847045898,2.0,,,
67,9.0,61.0,35.0,10.739638009329083,67.19870598571624,41.20592398874913,10.084255164892305,12.289184310781472,13.575132496355126,48.0,119.0,104.0,52.99520840234811,119.59892964504625,104.16858502038036,11.941564242310664,2.1617372469353144,4.635058155038098,0.001094399369637196,1.2020959258016526e-07,2.7004547670397094e-10,9.773214268030062e-11,-9.702245922107461e-21,3.365348900237863e-14,-1.2567922665423018e-20,37.0,1699.0,4.0,5.0,4.0,13535.167521238327,2.0,,,
68,8.0,50.0,26.0,10.845090238437708,56.57959914132815,31.009352594908442,10.403578419729918,12.084632806241867,13.11099342882985,39.0,118.0,111.0,43.725971533393036,118.97542276815715,109.4469767232583,11.798108529442327,1.7989665443742657,4.231289490316427,0.0016619919100875457,7.367051804670644e-08,2.9502173201218526e-09,1.6439281708014365e-10,-4.870900065959289e-20,-4.321665183322973e-14,-1.0360699675293398e-19,32.0,1169.0,0.5,3.0,2.0,19798.65799200535,2.0,,,
